"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9709","TC-Contact-001 - Validate Successful Add Multiple Contact","API Automation Suite","2026-08-23","passed","2026-08-23","com.cheq.application.tests.contactlist.contactmanagement.AddMultipleContactTest","API Test Suite","com.cheq.application.tests.contactlist.contactmanagement.AddMultipleContactTest","testAddMultipleContactSuccessfully"
"","1341","TC-Plaid-LinkToken-001 - Validate successful creation of Hosted Link Token","API Automation Suite","2026-08-23","passed","2026-08-23","com.cheq.application.tests.plaid.linktoken.CreateHostedLinkTokenTest","API Test Suite","com.cheq.application.tests.plaid.linktoken.CreateHostedLinkTokenTest","testCreateHostedLinkTokenSuccessfully"
"","270","TC-Security-002 - Verify TLS 1.0 connections are rejected","API Automation Suite","2026-08-23","passed","2026-08-23","com.cheq.application.tests.contactlist.securitymanagement.TlsSecurityTest","API Test Suite","com.cheq.application.tests.contactlist.securitymanagement.TlsSecurityTest","testTls10IsRejected"
"","8","TC-User-001 - Validate No Replay Back for Create User","API Automation Suite","2026-08-23","broken","2026-08-23","com.cheq.application.tests.contactlist.usermanagement.ConcurrentAddUserTest","API Test Suite","com.cheq.application.tests.contactlist.usermanagement.ConcurrentAddUserTest","testConcurrentRequests"
"","3581","TC-Plaid-Auth-001 - Validate successful creation of Processor Token","API Automation Suite","2026-08-23","passed","2026-08-23","com.cheq.application.tests.plaid.auth.CreateProcessorTokenTest","API Test Suite","com.cheq.application.tests.plaid.auth.CreateProcessorTokenTest","testCreateProcessorTokenSuccessfully"
"","1157","Validate_Bad_Request_error_for_Empty_FirstName","API Automation Suite","2026-08-23","passed","2026-08-23","com.cheq.application.tests.contactlist.usermanagement.ParameterizedSignupTest","API Test Suite","com.cheq.application.tests.contactlist.usermanagement.ParameterizedSignupTest","testParameterizedUserSignup"
"","481","TC-Security-001 - Verify HTTP requests are redirected to HTTPS","API Automation Suite","2026-08-23","failed","2026-08-23","com.cheq.application.tests.contactlist.securitymanagement.TlsSecurityTest","API Test Suite","com.cheq.application.tests.contactlist.securitymanagement.TlsSecurityTest","testHttpEnforcement"
"","2346","Validate_Bad_Request_error_for_Empty_FirstName","API Automation Suite","2026-08-23","passed","2026-08-23","com.cheq.application.tests.contactlist.contactmanagement.ParameterizedAddContactTest","API Test Suite","com.cheq.application.tests.contactlist.contactmanagement.ParameterizedAddContactTest","testParameterizedAddContact"
"","2316","TC-User-003 - Validate Successful delete user","API Automation Suite","2026-08-23","passed","2026-08-23","com.cheq.application.tests.contactlist.usermanagement.DeleteUserTest","API Test Suite","com.cheq.application.tests.contactlist.usermanagement.DeleteUserTest","testDeleteUser"
"","1204","TC-Auth-002 - Validate Successful User logged in","API Automation Suite","2026-08-23","passed","2026-08-23","com.cheq.application.tests.contactlist.authentication.LoginSuccessfulTest","API Test Suite","com.cheq.application.tests.contactlist.authentication.LoginSuccessfulTest","testSuccessfulUserLogin"
"","1151","Validate_Bad_Request_error_for_Duplicate_Email","API Automation Suite","2026-08-23","passed","2026-08-23","com.cheq.application.tests.contactlist.authentication.ParameterizedLoginTest","API Test Suite","com.cheq.application.tests.contactlist.authentication.ParameterizedLoginTest","testParameterizedLogin"
"","1127","Validate_Bad_Request_error_for_Short_Password","API Automation Suite","2026-08-23","passed","2026-08-23","com.cheq.application.tests.contactlist.usermanagement.ParameterizedSignupTest","API Test Suite","com.cheq.application.tests.contactlist.usermanagement.ParameterizedSignupTest","testParameterizedUserSignup"
"","2408","Validate_Created_for_Valid_Contact_Details","API Automation Suite","2026-08-23","passed","2026-08-23","com.cheq.application.tests.contactlist.contactmanagement.ParameterizedAddContactTest","API Test Suite","com.cheq.application.tests.contactlist.contactmanagement.ParameterizedAddContactTest","testParameterizedAddContact"
"","1155","Validate_Bad_Request_error_for_Empty_LastName","API Automation Suite","2026-08-23","passed","2026-08-23","com.cheq.application.tests.contactlist.usermanagement.ParameterizedSignupTest","API Test Suite","com.cheq.application.tests.contactlist.usermanagement.ParameterizedSignupTest","testParameterizedUserSignup"
"","3733","TC-Contact-007 - Validate Successful Update Contact","API Automation Suite","2026-08-23","passed","2026-08-23","com.cheq.application.tests.contactlist.contactmanagement.UpdateContactTest","API Test Suite","com.cheq.application.tests.contactlist.contactmanagement.UpdateContactTest","testUpdateContactSuccessfully"
"","1267","TC-Plaid-LinkToken-002 - Validate Successful Link Token Creation","API Automation Suite","2026-08-23","passed","2026-08-23","com.cheq.application.tests.plaid.linktoken.CreateLinkTokenTest","API Test Suite","com.cheq.application.tests.plaid.linktoken.CreateLinkTokenTest","testCreateLinkTokenSuccessfully"
"","1172","TC-Contact-002 - Validate No Replay Back for Add Contact","API Automation Suite","2026-08-23","broken","2026-08-23","com.cheq.application.tests.contactlist.contactmanagement.ConcurrentAddContactTest","API Test Suite","com.cheq.application.tests.contactlist.contactmanagement.ConcurrentAddContactTest","testConcurrentRequests"
